
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672694: losses = 208607.7598523217, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673624: losses = 208607.14691208265, delta_magnet = 0.00018304557471134886
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 6283185.307179586, A_magnet = 0.00959998458306001: losses = 24646.35471110629, delta_magnet = 0.00018304557471134886 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672044: losses = 26149.805128604698, delta_magnet = 0.0002075541725473383 
Flat Sim A_mag: PZ = 8, Tau = 0.8333333333333334, omega = 6283185.307179586, A_magnet = 0.00959998458306001: losses = 27958.032610033537, delta_magnet = 0.0002075541725473383 
Flat Sim A_mag: PZ = 8, Tau = 0.75, omega = 6283185.307179586, A_magnet = 0.008639986124754058: losses = 24200.145561624606, delta_magnet = 0.0002075541725473383 
Flat Sim A_mag: PZ = 8, Tau = 0.5, omega = 6283185.307179586, A_magnet = 0.005759990749836069: losses = 17444.046132218726, delta_magnet = 0.0002075541725473383 
Flat Sim A_mag: PZ = 8, Tau = 0.875, omega = 6283185.307179586, A_magnet = 0.01007998381221315: losses = 28392.960486734843, delta_magnet = 0.0002075541725473383 
Flat Sim A_mag: PZ = 8, Tau = 0.8888888888888888, omega = 6283185.307179586, A_magnet = 0.010239983555264145: losses = 28268.029531386892, delta_magnet = 0.0002075541725473383 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673624: losses = 223542.478119066, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981503807904: losses = 9527.142308759969, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981502687843: losses = 9527.142309229841, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981502687843: losses = 9527.142309199995, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981503807904: losses = 9527.142308902592, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981500091309: losses = 9527.142310397201, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 703.7167544041137, A_magnet = 0.0115199815052378: losses = 10062.256172362286, delta_magnet = 0.05188854313683458
